MANDT,BUKRS,BELNR,GJAHR,BLART,BLDAT,BUDAT,MONAT,CPUDT,CPUTM,AEDAT,UPDDT,WWERT,USNAM,TCODE,BVORG,XBLNR,DBBLG,STBLG,STJAH,BKTXT,WAERS,KURSF,KZWRS,KZKRS,BSTAT,XNETB,FRATH,XRUEB,GLVOR,GRPID,DOKID,ARCID,IBLAR,AWTYP,AWKEY,FIKRS,HWAER,HWAE2,HWAE3,KURS2,KURS3,BASW2,BASW3,UMRD2,UMRD3,XSTOV,STODT,XMWST,CURT2,CURT3,KUTY2,KUTY3,XSNET,AUSBK,XUSVR,DUEFL,AWSYS,TXKRS,CTXKRS,LOTKZ,XWVOF,STGRD,PPNAM,PPDAT,PPTME,BRNCH,NUMPG,ADISC
670,US00,90000003,2018,RV,04/23/2018,04/23/2018,4,04/23/2018,16:49:20,00/00/0000,00/00/0000,04/23/2018,GBIFAC-01,VF01,,GBI-001,,,0,,USD,1.0,,0.0,,,0.0,,SD00,,,,,VBRK,0090000003,,USD,,,0.0,0.0,,,,,,00/00/0000,,,,,,,,,,,0.0,0.0,,,,,00/00/0000,00:00:00,,0,
670,US00,90000004,2018,RV,05/02/2018,05/02/2018,5,05/02/2018,16:29:22,00/00/0000,00/00/0000,05/02/2018,GBIFAC-01,VF01,,GBI-001,,,0,,USD,1.0,,0.0,,,0.0,,SD00,,,,,VBRK,0090000004,,USD,,,0.0,0.0,,,,,,00/00/0000,,,,,,,,,,,0.0,0.0,,,,,00/00/0000,00:00:00,,0,
670,US00,90000005,2018,RV,05/11/2018,05/11/2018,5,05/11/2018,17:05:19,00/00/0000,00/00/0000,05/11/2018,GBI-004,VF04,,004,,,0,,USD,1.0,,0.0,,,0.0,,SD00,,,,,VBRK,0090000005,,USD,,,0.0,0.0,,,,,,00/00/0000,,,,,,,,,,,0.0,0.0,,,,,00/00/0000,00:00:00,,0,
670,US00,90000006,2018,RV,05/12/2018,05/12/2018,5,05/12/2018,12:41:57,00/00/0000,00/00/0000,05/12/2018,GBI-011,VF01,,011,,,0,,USD,1.0,,0.0,,,0.0,,SD00,,,,,VBRK,0090000006,,USD,,,0.0,0.0,,,,,,00/00/0000,,,,,,,,,,,0.0,0.0,,,,,00/00/0000,00:00:00,,0,
670,US00,90000007,2018,RV,05/13/2018,05/13/2018,5,05/13/2018,00:16:26,00/00/0000,00/00/0000,05/13/2018,GBI-056,VF01,,056,,,0,,USD,1.0,,0.0,,,0.0,,SD00,,,,,VBRK,0090000007,,USD,,,0.0,0.0,,,,,,00/00/0000,,,,,,,,,,,0.0,0.0,,,,,00/00/0000,00:00:00,,0,
670,US00,90000008,2018,RV,05/13/2018,05/13/2018,5,05/13/2018,17:49:39,00/00/0000,00/00/0000,05/13/2018,GBI-028,VF01,,028,,,0,,USD,1.0,,0.0,,,0.0,,SD00,,,,,VBRK,0090000008,,USD,,,0.0,0.0,,,,,,00/00/0000,,,,,,,,,,,0.0,0.0,,,,,00/00/0000,00:00:00,,0,
670,US00,90000009,2018,RV,05/13/2018,05/13/2018,5,05/13/2018,18:25:50,00/00/0000,00/00/0000,05/13/2018,GBI-036,VF04,,036,,,0,,USD,1.0,,0.0,,,0.0,,SD00,,,,,VBRK,0090000009,,USD,,,0.0,0.0,,,,,,00/00/0000,,,,,,,,,,,0.0,0.0,,,,,00/00/0000,00:00:00,,0,
670,US00,90000010,2018,RV,05/14/2018,05/14/2018,5,05/14/2018,00:49:41,00/00/0000,00/00/0000,05/14/2018,GBI-086,VF01,,GBI-086,,,0,,USD,1.0,,0.0,,,0.0,,SD00,,,,,VBRK,0090000010,,USD,,,0.0,0.0,,,,,,00/00/0000,,,,,,,,,,,0.0,0.0,,,,,00/00/0000,00:00:00,,0,
670,US00,90000011,2018,RV,05/14/2018,05/14/2018,5,05/14/2018,15:05:11,00/00/0000,00/00/0000,05/14/2018,GBI-031,VF01,,GBI-031,,,0,,USD,1.0,,0.0,,,0.0,,SD00,,,,,VBRK,0090000011,,USD,,,0.0,0.0,,,,,,00/00/0000,,,,,,,,,,,0.0,0.0,,,,,00/00/0000,00:00:00,,0,
670,US00,90000012,2018,RV,05/15/2018,05/15/2018,5,05/15/2018,12:38:05,00/00/0000,00/00/0000,05/15/2018,GBI-051,VF01,,051,,,0,,USD,1.0,,0.0,,,0.0,,SD00,,,,,VBRK,0090000012,,USD,,,0.0,0.0,,,,,,00/00/0000,,,,,,,,,,,0.0,0.0,,,,,00/00/0000,00:00:00,,0,
