,MANDT,BUKRS,BELNR,GJAHR,BUZEI,BUZID,AUGDT,AUGCP,AUGBL,BSCHL,KOART,UMSKZ,UMSKS,ZUMSK,SHKZG,GSBER,PARGB,MWSKZ,QSSKZ,DMBTR,WRBTR,KZBTR,PSWBT,PSWSL,TXBHW,TXBFW,MWSTS,WMWST,HWBAS,FWBAS,HWZUZ,FWZUZ,SHZUZ,STEKZ,MWART,TXGRP,KTOSL,QSSHB,KURSR,GBETR,BDIFF,BDIF2,VALUT,ZUONR,SGTXT,ZINKZ,VBUND,BEWAR,ALTKT,VORGN,FDLEV,FDGRP,FDWBT,FDTAG,FKONT,KOKRS,KOSTL,PROJN,AUFNR,VBELN,VBEL2,POSN2,ETEN2,ANLN1,ANLN2,ANBWA,BZDAT,PERNR,XUMSW,XHRES,XKRES,XOPVW,XCPDD,XSKST,XSAUF,XSPRO,XSERG,XFAKT,XUMAN,XANET,XSKRL,XINVE,XPANZ,XAUTO,XNCOP,XZAHL,SAKNR,HKONT,KUNNR,LIFNR,FILKD,XBILK,GVTYP,HZUON,ZFBDT,ZTERM,ZBD1T,ZBD2T,ZBD3T,ZBD1P,ZBD2P,SKFBT,SKNTO,WSKTO,ZLSCH,ZLSPR,ZBFIX,HBKID,BVTYP,NEBTR,MWSK1,DMBT1,WRBT1,MWSK2,DMBT2,WRBT2,MWSK3,DMBT3,WRBT3,REBZG,REBZJ,REBZZ,REBZT,ZOLLT,ZOLLD,LZBKZ,LANDL,DIEKZ,SAMNR,ABPER,VRSKZ,VRSDT,DISBN,DISBJ,DISBZ,WVERW,ANFBN,ANFBJ,ANFBU,ANFAE,BLNBT,BLNKZ,BLNPZ,MSCHL,MANSP,MADAT,MANST,MABER,ESRNR,ESRRE,ESRPZ,KLIBT,QSZNR,QBSHB,QSFBT,NAVHW,NAVFW,MATNR,WERKS,MENGE,MEINS,ERFMG,ERFME,BPMNG,BPRME,EBELN,EBELP,ZEKKN,ELIKZ,VPRSV,PEINH,BWKEY,BWTAR,BUSTW,REWRT,REWWR,BONFB,BUALT,PSALT,NPREI,TBTKZ,SPGRP,SPGRM,SPGRT,SPGRG,SPGRV,SPGRQ,STCEG,EGBLD,EGLLD,RSTGR,RYACQ,RPACQ,RDIFF,RDIF2,PRCTR,XHKOM,VNAME,RECID,EGRUP,VPTNR,VERTT,VERTN,VBEWA,DEPOT,TXJCD,IMKEY,DABRZ,POPTS,FIPOS,KSTRG,NPLNR,AUFPL,APLZL,PROJK,PAOBJNR,PASUBNR,SPGRS,SPGRC,BTYPE,ETYPE,XEGDR,LNRAN,HRKFT,DMBE2,DMBE3,DMB21,DMB22,DMB23,DMB31,DMB32,DMB33,MWST2,MWST3,NAVH2,NAVH3,SKNT2,SKNT3,BDIF3,RDIF3,HWMET,GLUPM,XRAGL,UZAWE,LOKKT,FISTL,GEBER,STBUK,TXBH2,TXBH3,PPRCT,XREF1,XREF2,KBLNR,KBLPOS,STTAX,FKBER,OBZEI,XNEGP,RFZEI,CCBTC,KKBER,EMPFB,XREF3,DTWS1,DTWS2,DTWS3,DTWS4,GRICD,GRIRG,GITYP,XPYPR,KIDNO,ABSBT,IDXSP,LINFV,KONTT,KONTL,TXDAT,AGZEI,PYCUR,PYAMT,BUPLA,SECCO,LSTAR,CESSION_KZ,PRZNR,PPDIFF,PPDIF2,PPDIF3,PENLC1,PENLC2,PENLC3,PENFC,PENDAYS,PENRC,GRANT_NBR,SCTAX,FKBER_LONG,GMVKZ,SRTYPE,INTRENO,MEASURE,AUGGJ,PPA_EX_IND,DOCLN,SEGMENT,PSEGMENT,PFKBER,HKTID,KSTAR,XLGCLR,TAXPS,PAYS_PROV,PAYS_TRAN,MNDID,XFRGE_BSEG,SQUAN,RE_BUKRS,RE_ACCOUNT,PGEBER,PGRANT_NBR,BUDGET_PD,PBUDGET_PD,J_1TPBUPL,PEROP_BEG,PEROP_END,FASTPAY,IGNR_IVREF,FMFGUS_KEY,FMXDOCNR,FMXYEAR,FMXDOCLN,FMXZEKKN,PRODPER,RECRF
0,375,US00,1500000001.0,2017,1,,,,,50,S,,,,H,,,,,"213,710.00","213,710.00",0,"213,710.00",USD,0,0,0,0,0,0,0,0,,,,0,,0,,0,0,0,1/24/17,20170124.0,,,,,,RFBU,,,0,,0,NA00,,,,,,0,0,,,,,0,,,X,,,,,,,,,,,,,,,,,100000,,,,X,,,,,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,0,,0,0,,,0,,,,,,,0,0,,,,,0,,,,,,0,,0,,,,0,,,,,0,,0,0,0,0,,,0,,0,,0,,,0,0,,,0,,,,0,0,0,0,,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,,,,0,0,,0,0,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,0,0,,0,,0,,,,,0,0,0,0,,,,,,0,,,,,,0,,0,,,,,,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,
1,375,US00,1500000001.0,2017,2,,1/24/17,1/24/17,1500000001.0,25,K,,,,S,,,,,"213,710.00","213,710.00",0,"213,710.00",USD,0,0,0,0,0,0,0,0,,,,0,,0,,0,0,0,,,,,,,,RFBU,,,0,,0,NA00,,,,,,0,0,,,,,0,,,X,X,,,,,,,,,,,,X,,X,300000.0,300000,,125131.0,,X,,,1/24/17,,0,0,0,0,0,0,0,0,,,,,,"213,710.00",,0,0,,0,0,,0,0,,,0,,,,,,,0,0,,,,,0,,,,,,0,,0,,,,0,,,,,0,,0,0,0,0,,,0,,0,,0,,,0,0,,,0,,,,0,0,0,0,,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,,,,0,0,,0,0,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,,,,,,,,0,0,,,,,0,0,,0,,0,,,,,0,0,0,0,,,,,,0,,,,,,2,,0,,,,,,0,0,0,0,0,0,0,0,,,0,,,,,,2017.0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,
2,375,US00,1500000002.0,2017,1,,,,,50,S,,,,H,,,,,"1,068,550.00","1,068,550.00",0,"1,068,550.00",USD,0,0,0,0,0,0,0,0,,,,0,,0,,0,0,0,1/24/17,20170124.0,,,,,,RFBU,,,0,,0,NA00,,,,,,0,0,,,,,0,,,X,,,,,,,,,,,,,,,,,100000,,,,X,,,,,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,0,,0,0,,,0,,,,,,,0,0,,,,,0,,,,,,0,,0,,,,0,,,,,0,,0,0,0,0,,,0,,0,,0,,,0,0,,,0,,,,0,0,0,0,,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,,,,0,0,,0,0,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,0,0,,0,,0,,,,,0,0,0,0,,,,,,0,,,,,,0,,0,,,,,,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,
3,375,US00,1500000002.0,2017,2,,1/24/17,1/24/17,1500000002.0,25,K,,,,S,,,,,"1,068,550.00","1,068,550.00",0,"1,068,550.00",USD,0,0,0,0,0,0,0,0,,,,0,,0,,0,0,0,,,,,,,,RFBU,,,0,,0,NA00,,,,,,0,0,,,,,0,,,X,X,,,,,,,,,,,,X,,X,300000.0,300000,,125131.0,,X,,,1/24/17,,0,0,0,0,0,0,0,0,,,,,,"1,068,550.00",,0,0,,0,0,,0,0,,,0,,,,,,,0,0,,,,,0,,,,,,0,,0,,,,0,,,,,0,,0,0,0,0,,,0,,0,,0,,,0,0,,,0,,,,0,0,0,0,,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,,,,0,0,,0,0,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,,,,,,,,0,0,,,,,0,0,,0,,0,,,,,0,0,0,0,,,,,,0,,,,,,2,,0,,,,,,0,0,0,0,0,0,0,0,,,0,,,,,,2017.0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,
4,375,US00,1500000003.0,2017,1,,,,,50,S,,,,H,,,,,"933,153.41","933,153.41",0,"933,153.41",USD,0,0,0,0,0,0,0,0,,,,0,,0,,0,0,0,1/24/17,20170124.0,,,,,,RFBU,,,0,,0,NA00,,,,,,0,0,,,,,0,,,X,,,,,,,,,,,,,,,,,100000,,,,X,,,,,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,0,,0,0,,,0,,,,,,,0,0,,,,,0,,,,,,0,,0,,,,0,,,,,0,,0,0,0,0,,,0,,0,,0,,,0,0,,,0,,,,0,0,0,0,,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,,,,0,0,,0,0,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,0,0,,0,,0,,,,,0,0,0,0,,,,,,0,,,,,,0,,0,,,,,,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,
5,375,US00,1500000003.0,2017,2,,1/24/17,1/24/17,1500000003.0,25,K,,,,S,,,,,"933,153.41","933,153.41",0,"3,284,700.00",PEN,0,0,0,0,0,0,0,0,,,,0,,0,,0,0,0,,,,,,,,RFBU,,,0,,0,NA00,,,,,,0,0,,,,,0,,,X,X,,,,,,,,,,,,X,,X,300000.0,300000,,125135.0,,X,,,1/24/17,,0,0,0,0,0,0,0,0,,,,,,"933,153.41",,0,0,,0,0,,0,0,,,0,,,,,,,0,0,,,,,0,,,,,,0,,0,,,,0,,,,,0,,0,0,0,0,,,0,,0,,0,,,0,0,,,0,,,,0,0,0,0,,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,,,,0,0,,0,0,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,,,,,,,,0,0,,,,,0,0,,0,,0,,,,,0,0,0,0,,,,,,0,,,,,,2,,0,,,,,,0,0,0,0,0,0,0,0,,,0,,,,,,2017.0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,
6,375,US00,1500000004.0,2017,1,,,,,50,S,,,,H,,,,,"1,050.00","1,050.00",0,"1,050.00",USD,0,0,0,0,0,0,0,0,,,,0,,0,,0,0,0,1/24/17,20170124.0,,,,,,RFBU,,,0,,0,NA00,,,,,,0,0,,,,,0,,,X,,,,,,,,,,,,,,,,,100000,,,,X,,,,,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,0,,0,0,,,0,,,,,,,0,0,,,,,0,,,,,,0,,0,,,,0,,,,,0,,0,0,0,0,,,0,,0,,0,,,0,0,,,0,,,,0,0,0,0,,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,,,,0,0,,0,0,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,0,0,,0,,0,,,,,0,0,0,0,,,,,,0,,,,,,0,,0,,,,,,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,
7,375,US00,1500000004.0,2017,2,,1/24/17,1/24/17,1500000004.0,25,K,,,,S,,,,,"1,050.00","1,050.00",0,"1,050.00",USD,0,0,0,0,0,0,0,0,,,,0,,0,,0,0,0,,,,,,,,RFBU,,,0,,0,NA00,,,,,,0,0,,,,,0,,,X,X,,,,,,,,,,,,X,,X,300000.0,300000,,125135.0,,X,,,1/24/17,,0,0,0,0,0,0,0,0,,,,,,"1,050.00",,0,0,,0,0,,0,0,,,0,,,,,,,0,0,,,,,0,,,,,,0,,0,,,,0,,,,,0,,0,0,0,0,,,0,,0,,0,,,0,0,,,0,,,,0,0,0,0,,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,,,,0,0,,0,0,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,,,,,,,,0,0,,,,,0,0,,0,,0,,,,,0,0,0,0,,,,,,0,,,,,,2,,0,,,,,,0,0,0,0,0,0,0,0,,,0,,,,,,2017.0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,
8,375,US00,1500000005.0,2017,1,,,,,50,S,,,,H,,,,,"30,300.00","30,300.00",0,"30,300.00",USD,0,0,0,0,0,0,0,0,,,,0,,0,,0,0,0,1/25/17,20170125.0,,,,,,RFBU,,,0,,0,NA00,,,,,,0,0,,,,,0,,,X,,,,,,,,,,,,,,,,,100000,,,,X,,,,,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,0,,0,0,,,0,,,,,,,0,0,,,,,0,,,,,,0,,0,,,,0,,,,,0,,0,0,0,0,,,0,,0,,0,,,0,0,,,0,,,,0,0,0,0,,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,,,,0,0,,0,0,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,0,0,,0,,0,,,,,0,0,0,0,,,,,,0,,,,,,0,,0,,,,,,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,
9,375,US00,1500000005.0,2017,2,,1/25/17,1/25/17,1500000005.0,25,K,,,,S,,,,,"30,300.00","30,300.00",0,"30,300.00",USD,0,0,0,0,0,0,0,0,,,,0,,0,,0,0,0,,,,,,,,RFBU,,,0,,0,NA00,,,,,,0,0,,,,,0,,,X,X,,,,,,,,,,,,X,,X,300000.0,300000,,125131.0,,X,,,1/25/17,,0,0,0,0,0,0,0,0,,,,,,"30,300.00",,0,0,,0,0,,0,0,,,0,,,,,,,0,0,,,,,0,,,,,,0,,0,,,,0,,,,,0,,0,0,0,0,,,0,,0,,0,,,0,0,,,0,,,,0,0,0,0,,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,,,,0,0,,0,0,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,,,,,,,,0,0,,,,,0,0,,0,,0,,,,,0,0,0,0,,,,,,0,,,,,,2,,0,,,,,,0,0,0,0,0,0,0,0,,,0,,,,,,2017.0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,
