,MANDT,BUKRS,BELNR,GJAHR,BUZEI,BUZID,AUGDT,AUGCP,AUGBL,BSCHL,KOART,UMSKZ,UMSKS,ZUMSK,SHKZG,GSBER,PARGB,MWSKZ,QSSKZ,DMBTR,WRBTR,KZBTR,PSWBT,PSWSL,TXBHW,TXBFW,MWSTS,WMWST,HWBAS,FWBAS,HWZUZ,FWZUZ,SHZUZ,STEKZ,MWART,TXGRP,KTOSL,QSSHB,KURSR,GBETR,BDIFF,BDIF2,VALUT,ZUONR,SGTXT,ZINKZ,VBUND,BEWAR,ALTKT,VORGN,FDLEV,FDGRP,FDWBT,FDTAG,FKONT,KOKRS,KOSTL,PROJN,AUFNR,VBELN,VBEL2,POSN2,ETEN2,ANLN1,ANLN2,ANBWA,BZDAT,PERNR,XUMSW,XHRES,XKRES,XOPVW,XCPDD,XSKST,XSAUF,XSPRO,XSERG,XFAKT,XUMAN,XANET,XSKRL,XINVE,XPANZ,XAUTO,XNCOP,XZAHL,SAKNR,HKONT,KUNNR,LIFNR,FILKD,XBILK,GVTYP,HZUON,ZFBDT,ZTERM,ZBD1T,ZBD2T,ZBD3T
0,670,US00,90000003,2018,1,,04/23/2018,04/23/2018,1400000003.0,1,D,,,,S,,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,04/23/2018,90000003.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,90000003.0,,0,0,,,,00/00/0000,0,X,,X,X,,,,,,,,,,,,,,,110000.0,110000,1001.0,,,X,,,04/23/2018,1.0,0,0,0
1,670,US00,90000003,2018,2,,00/00/0000,00/00/0000,,50,S,,,,H,BI00,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,04/23/2018,20180423.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,,,0,0,,,,00/00/0000,0,,,X,,,,,,,,,,,,,,,,,600000,,,,,RE,,00/00/0000,,0,0,0
2,670,US00,90000004,2018,1,,05/02/2018,05/02/2018,1400000004.0,1,D,,,,S,,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/02/2018,90000004.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,90000004.0,,0,0,,,,00/00/0000,0,X,,X,X,,,,,,,,,,,,,,,110000.0,110000,1001.0,,,X,,,05/02/2018,1.0,0,0,0
3,670,US00,90000004,2018,2,,00/00/0000,00/00/0000,,50,S,,,,H,BI00,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/02/2018,20180502.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,,,0,0,,,,00/00/0000,0,,,X,,,,,,,,,,,,,,,,,600000,,,,,RE,,00/00/0000,,0,0,0
4,670,US00,90000005,2018,1,,05/11/2018,05/11/2018,1400000005.0,1,D,,,,S,,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/11/2018,90000005.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,90000005.0,,0,0,,,,00/00/0000,0,X,,X,X,,,,,,,,,,,,,,,110000.0,110000,1004.0,,,X,,,05/11/2018,1.0,0,0,0
5,670,US00,90000005,2018,2,,00/00/0000,00/00/0000,,50,S,,,,H,BI00,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/11/2018,20180511.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,,,0,0,,,,00/00/0000,0,,,X,,,,,,,,,,,,,,,,,600000,,,,,RE,,00/00/0000,,0,0,0
6,670,US00,90000006,2018,1,,05/12/2018,05/12/2018,1400000006.0,1,D,,,,S,,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/12/2018,90000006.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,90000006.0,,0,0,,,,00/00/0000,0,X,,X,X,,,,,,,,,,,,,,,110000.0,110000,1000.0,,,X,,,05/12/2018,1.0,0,0,0
7,670,US00,90000006,2018,2,,00/00/0000,00/00/0000,,50,S,,,,H,BI00,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/12/2018,20180512.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,,,0,0,,,,00/00/0000,0,,,X,,,,,,,,,,,,,,,,,600000,,,,,RE,,00/00/0000,,0,0,0
8,670,US00,90000007,2018,1,,05/13/2018,05/13/2018,1400000007.0,1,D,,,,S,,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/13/2018,90000007.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,90000007.0,,0,0,,,,00/00/0000,0,X,,X,X,,,,,,,,,,,,,,,110000.0,110000,1056.0,,,X,,,05/13/2018,1.0,0,0,0
9,670,US00,90000007,2018,2,,00/00/0000,00/00/0000,,50,S,,,,H,BI00,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/13/2018,20180513.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,,,0,0,,,,00/00/0000,0,,,X,,,,,,,,,,,,,,,,,600000,,,,,RE,,00/00/0000,,0,0,0
