MANDT,EBELN,BUKRS,BSTYP,BSART,BSAKZ,LOEKZ,STATU,AEDAT,ERNAM,PINCR,LPONR,LIFNR,SPRAS,ZTERM,ZBD1T,ZBD2T,ZBD3T,ZBD1P,ZBD2P,EKORG,EKGRP,WAERS,WKURS,KUFIX,BEDAT,KDATB,KDATE,BWBDT,ANGDT,BNDDT,GWLDT,AUSNR,ANGNR,IHRAN,IHREZ,VERKF,TELF1,LLIEF,KUNNR,KONNR,ABGRU,AUTLF,WEAKT,RESWK,LBLIF,INCO1,INCO2,KTWRT,SUBMI,KNUMV,KALSM,STAFO,LIFRE,EXNUM,UNSEZ,LOGSY,UPINC,STAKO,FRGGR,FRGSX,FRGKE,FRGZU,FRGRL,LANDS,LPHIS,ADRNR,STCEG_L,STCEG,ABSGR,ADDNR,KORNR,MEMORY,PROCSTAT,RLWRT,REVNO,SCMPROC,REASON_CODE,MEMORYTYPE,RETTP,RETPC,DPTYP,DPPCT,DPAMT,DPDAT,MSR_ID,HIERARCHY_EXISTS,THRESHOLD_EXISTS,LEGAL_CONTRACT,DESCRIPTION,RELEASE_DATE,VSART,HANDOVERLOC,SHIPCOND,INCOV,INCO2_L,INCO3_L,FORCE_ID,FORCE_CNT,RELOC_ID,RELOC_SEQ_ID,SOURCE_LOGSYS,FSH_TRANSACTION,FSH_ITEM_GROUP,FSH_VAS_LAST_ITEM,FSH_OS_STG_CHANGE,VZSKZ,FSH_SNST_STATUS,POHF_TYPE,EQ_EINDT,EQ_WERKS,FIXPO,EKGRP_ALLOW,WERKS_ALLOW,CONTRACT_ALLOW,PSTYP_ALLOW,FIXPO_ALLOW,KEY_ID_ALLOW,AUREL_ALLOW,DELPER_ALLOW,EINDT_ALLOW,LTSNR_ALLOW,OTB_LEVEL,OTB_COND_TYPE,KEY_ID,OTB_VALUE,OTB_CURR,OTB_RES_VALUE,OTB_SPEC_VALUE,SPR_RSN_PROFILE,BUDG_TYPE,OTB_STATUS,OTB_REASON,CHECK_TYPE,CON_OTB_REQ,CON_PREBOOK_LEV,CON_DISTR_LEV
375,4500000000,US00,F,NB,,,9,5/30/16,COCCHI,10,20,101999,EN,1,0,0,0,0,0,US00,N00,USD,1,,5/9/16,,,,,,,,,,,,,,,,,,,,,,,0,,1000000000,RM0000,SAP,,,,,1,,,,,,,US,,,US,,0,,,,2,0,,,,,,0,,0,0,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,
375,4500000001,US00,F,NB,,,9,1/24/17,GBI-085,10,10,125000,EN,1,0,0,0,0,0,US00,N00,SAR,/3.74340,,1/24/17,,,,,,,,,,,,,,,,,,,,,,,0,,1000000020,RM0000,SAP,,,,,1,,,,,,,US,,,US,,0,,,,2,0,,,,,,0,,0,0,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,
375,4500000002,US00,F,NB,,,9,1/24/17,GBI-085,10,10,125000,EN,1,0,0,0,0,0,US00,N00,SAR,/3.74340,,1/24/17,,,,,,,,,,,,,,,,,,,,,,,0,,1000000021,RM0000,SAP,,,,,1,,,,,,,US,,,US,,0,,,,2,0,,,,,,0,,0,0,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,
375,4500000003,US00,F,NB,,,9,1/24/17,GBI-085,10,10,125000,EN,1,0,0,0,0,0,US00,N00,USD,1,,1/24/17,,,,,,,,,,,,,,,,,,,,,,,0,,1000000022,RM0000,SAP,,,,,1,,,,,,,US,,,US,,0,,,,2,0,,,,,,0,,0,0,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,
375,4500000004,US00,F,NB,,,9,1/24/17,GBIFAC-01,10,10,125000,EN,1,0,0,0,0,0,US00,N00,USD,1,,1/24/17,,,,,,,,,,,,,,,,,,,,,,,0,,1000000023,RM0000,SAP,,,,,1,,,,,,,US,,,US,,0,,,,2,0,,,,,,0,,0,0,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,
375,4500000005,US00,F,NB,,,9,1/24/17,GBIFAC-01,10,10,125000,EN,1,0,0,0,0,0,US00,N00,USD,1,,1/24/17,,,,,,,,,,,,,,,,,,,,,,,0,,1000000024,RM0000,SAP,,,,,1,,,,,,,US,,,US,,0,,,,2,0,,,,,,0,,0,0,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,
375,4500000006,US00,F,NB,,,9,1/24/17,GBI-085,10,10,125000,EN,1,0,0,0,0,0,US00,N00,USD,1,,1/24/17,,,,,,,,,,,,,,,,,,,,,,,0,,1000000025,RM0000,SAP,,,,,1,,,,,,,US,,,US,,0,,,,2,0,,,,,,0,,0,0,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,
375,4500000007,US00,F,NB,,,9,1/24/17,GBI-085,10,10,125001,EN,1,0,0,0,0,0,US00,N00,PEN,/3.52000,,1/24/17,,,,,,,,,,,,,,,,,,,,,,,0,,1000000026,RM0000,SAP,,,,,1,,,,,,,US,,,US,,0,,,,2,0,,,,,,0,,0,0,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,
375,4500000008,US00,F,NB,,,9,1/24/17,GBI-085,10,10,125001,EN,1,0,0,0,0,0,US00,N00,PEN,/3.52000,,1/24/17,,,,,,,,,,,,,,,,,,,,,,,0,,1000000027,RM0000,SAP,,,,,1,,,,,,,US,,,US,,0,,,,2,0,,,,,,0,,0,0,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,
375,4500000009,US00,F,NB,,,9,1/24/17,GBIFAC-01,10,10,125000,EN,1,0,0,0,0,0,US00,N00,USD,1,,1/24/17,,,,,,,,,,,,,,,,,,,,,,,0,,1000000028,RM0000,SAP,,,,,1,,,,,,,US,,,US,,0,,,,2,0,,,,,,0,,0,0,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,
375,4500000010,US00,F,NB,,,9,1/24/17,GBI-022,10,10,125002,EN,1,0,0,0,0,0,US00,N00,USD,1,,1/24/17,,,,,,,,,,,,,,,,,,,,,,,0,,1000000029,RM0000,SAP,,,,,1,,,,,,,US,,,US,,0,,,,2,0,,,,,,0,,0,0,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,
375,4500000011,US00,F,NB,,,9,1/24/17,GBIFAC-01,10,10,125000,EN,1,0,0,0,0,0,US00,N00,USD,1,,1/24/17,,,,,,,,,,,,,,,,,,,,,,,0,,1000000030,RM0000,SAP,,,,,1,,,,,,,US,,,US,,0,,,,2,0,,,,,,0,,0,0,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,
375,4500000012,US00,F,NB,,,9,1/25/17,GBI-032,10,10,125003,EN,1,0,0,0,0,0,US00,N00,USD,1,,1/25/17,,,,,,,,,,,,,,,,,,,,,,,0,,1000000031,RM0000,SAP,,,,,1,,,,,,,US,,,US,,0,,,,2,0,,,,,,0,,0,0,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,
375,4500000013,US00,F,NB,,,9,1/25/17,GBI-005,10,10,125004,EN,,0,0,0,0,0,US00,N00,USD,1,,1/25/17,,,,,,,,,,,,,,,,,,,,,,,0,,1000000032,RM0000,SAP,,,,,1,,,,,,,US,,,US,,0,,,,2,0,,,,,,0,,0,0,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,
375,4500000014,US00,F,NB,,,9,1/26/17,GBI-057,10,10,125005,EN,1,0,0,0,0,0,US00,N00,USD,1,,1/26/17,,,,,,,,,,,,,,,,,,,,,,,0,,1000000033,RM0000,SAP,,,,,1,,,,,,,US,,,US,,0,,,,2,0,,,,,,0,,0,0,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,
375,4500000015,US00,F,NB,,,9,1/26/17,GBI-055,10,10,125008,EN,1,0,0,0,0,0,US00,N00,USD,1,,1/26/17,,,,,,,,,,,,,,,,,,,,,,,0,,1000000034,RM0000,SAP,,,,,1,,,,,,,US,,,US,,0,,,,2,0,,,,,,0,,0,0,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,
375,4500000016,US00,F,NB,,,9,1/26/17,GBI-024,10,10,125012,EN,1,0,0,0,0,0,US00,N00,CHF,/1.60100,,2/4/17,,,,,,,,,,,,,,,,,,,,,,,0,,1000000035,RM0000,SAP,,,,,1,,,,,,,US,,,US,,0,,,X,2,0,,,,H,,0,,0,0,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,
