MANDT,KNUMV,KPOSN,STUNR,ZAEHK,KAPPL,KSCHL,KDATU,KRECH,KAWRT,KBETR,WAERS,KKURS,KPEIN,KMEIN,KUMZA,KUMNE,KNTYP,KSTAT,KNPRS,KRUEK,KRELI,KHERK,KGRPE,KOUPD,KOLNR,KNUMH,KOPOS,KVSL1,SAKN1,MWSK1,KVSL2,SAKN2,MWSK2,LIFNR,KUNNR,KDIFF,KWERT,KSTEU,KINAK,KOAID,ZAEKO,KMXAW,KMXWR,KDUPL,KZBZG,KSTBS,KONMS,KONWS,KWAEH,KFKIV,KVARC,KMPRS,PRSQU,STUFE,WEGXX,KTREL,MDFLG,TXJLV
670,1,10,11,1,V,PR00,05/02/2017,C,               50.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,54086.0,1,ERL,,,,,,,,0.0,"        15,000.00",A,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,1,10,930,1,V,SKTO,05/02/2017,A,"           15,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,1,10,940,1,V,VPRS,05/02/2017,C,               50.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"         7,000.00",A,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,2,10,11,1,V,PR00,05/02/2017,C,               20.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,54087.0,1,ERL,,,,,,,,0.0,"         6,000.00",A,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,2,10,930,1,V,SKTO,05/02/2017,A,"            6,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,2,10,940,1,V,VPRS,05/02/2017,C,               20.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"         2,800.00",A,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,3,10,11,1,V,PR00,05/02/2017,C,               80.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,54085.0,1,ERL,,,,,,,,0.0,"        24,000.00",A,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,3,10,930,1,V,SKTO,05/02/2017,A,"           24,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,3,10,940,1,V,VPRS,05/02/2017,C,               80.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        11,200.00",A,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,7,10,11,1,V,PR00,05/02/2017,C,               80.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,54085.0,1,ERL,600000.0,,,,,,,0.0,"        24,000.00",D,,B,0,,,,,0.0,,,,,,,,0,0,,,
