,MANDT,MBLNR,MJAHR,VGART,BLART,BLAUM,BLDAT,BUDAT,CPUDT,CPUTM,AEDAT,USNAM,TCODE,XBLNR,BKTXT,FRATH,FRBNR,WEVER,XABLN,AWSYS,BLA2D,TCODE2,BFWMS,EXNUM,SPE_BUDAT_UHR,SPE_BUDAT_ZONE,LE_VBELN,SPE_LOGSYS,SPE_MDNUM_EWM,GTS_CUSREF_NO,FLS_RSTO,MSR_ACTIVE,KNUMV
0,375,5000000010,2017,WE,WE,PR,1/24/17,1/24/17,1/24/17,10:07:38,,GBI-028,,,,0,,1,,CAICLNT375,,MIGO_GR,,,0:00:00,,,,,,,,
1,375,5000000011,2017,WE,WE,PR,1/24/17,1/24/17,1/24/17,10:10:20,,GBI-038,,,,0,,1,,CAICLNT375,,MIGO_GR,,,0:00:00,,,,,,,,
2,375,5000000012,2017,WE,WE,PR,1/24/17,1/24/17,1/24/17,10:11:53,,GBI-012,,,,0,,1,,CAICLNT375,,MIGO_GR,,,0:00:00,,,,,,,,
3,375,5000000013,2017,WE,WE,PR,1/24/17,1/24/17,1/24/17,10:30:26,,GBI-028,,,,0,,1,,CAICLNT375,,MIGO_GR,,,0:00:00,,,,,,,,
4,375,5000000014,2017,WE,WE,PR,1/24/17,1/24/17,1/24/17,11:50:30,,GBI-038,,,,0,,1,,CAICLNT375,,MIGO_GR,,,0:00:00,,,,,,,,
5,375,5000000015,2017,WE,WE,PR,1/24/17,1/24/17,1/24/17,15:37:46,,GBI-028,,,,0,,1,,CAICLNT375,,MIGO_GR,,,0:00:00,,,,,,,,
6,375,5000000016,2017,WE,WE,PR,1/24/17,1/24/17,1/24/17,18:51:53,,GBI-038,,,,0,,1,,CAICLNT375,,MIGO_GR,,,0:00:00,,,,,,,,
7,375,5000000017,2017,WE,WE,PR,1/25/17,1/25/17,1/25/17,14:37:52,,GBI-028,,,,0,,1,,CAICLNT375,,MIGO_GR,,,0:00:00,,,,,,,,
8,375,5000000018,2017,WE,WE,PR,1/25/17,1/25/17,1/25/17,14:53:51,,GBI-028,,,,0,,1,,CAICLNT375,,MIGO_GR,,,0:00:00,,,,,,,,
9,375,5000000019,2017,WE,WE,PR,1/26/17,1/26/17,1/26/17,14:28:37,,GBI-038,,,,0,,1,,CAICLNT375,,MIGO_GR,,,0:00:00,,,,,,,,
10,375,5000000020,2017,WE,WE,PR,1/26/17,1/26/17,1/26/17,17:54:10,,GBI-012,,,,0,,1,,CAICLNT375,,MIGO_GR,,,0:00:00,,,,,,,,
11,375,5000000021,2017,WE,WE,PR,1/26/17,1/26/17,1/26/17,19:49:37,,GBI-038,,,,0,,1,,CAICLNT375,,MIGO_GR,,,0:00:00,,,,,,,,
