adsh,tag,version,coreg,ddate,qtrs,uom,value,footnote,fs_year,fs_quarter
0001193125-14-277160,AccountsPayableCurrent,us-gaap/2014,,20130930,0,USD,22367000000,,2014,3
0001193125-14-277160,AccountsPayableCurrent,us-gaap/2014,,20140630,0,USD,20535000000,,2014,3
0001193125-14-277160,AccountsReceivableNetCurrent,us-gaap/2014,,20130930,0,USD,13102000000,,2014,3
0001193125-14-277160,AccountsReceivableNetCurrent,us-gaap/2014,,20140630,0,USD,10788000000,,2014,3
0001193125-14-277160,AccruedLiabilitiesCurrent,us-gaap/2014,,20130930,0,USD,13856000000,,2014,3
0001193125-14-277160,AccruedLiabilitiesCurrent,us-gaap/2014,,20140630,0,USD,15264000000,,2014,3
0001193125-14-277160,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,us-gaap/2014,,20130930,0,USD,11922000000,,2014,3
0001193125-14-277160,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,us-gaap/2014,,20140630,0,USD,16868000000,,2014,3
0001193125-14-277160,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap/2014,,20140630,0,USD,86000000,,2014,3
0001193125-14-277160,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap/2014,,20130930,0,USD,99000000,,2014,3
0001193125-14-277160,Assets,us-gaap/2014,,20140630,0,USD,2.2252E+11,,2014,3
0001193125-14-277160,Assets,us-gaap/2014,,20130930,0,USD,2.07E+11,,2014,3
0001193125-14-277160,AssetsCurrent,us-gaap/2014,,20130930,0,USD,73286000000,,2014,3
0001193125-14-277160,AssetsCurrent,us-gaap/2014,,20140630,0,USD,67949000000,,2014,3
0001193125-14-277160,CashAndCashEquivalentsAtCarryingValue,us-gaap/2014,,20120930,0,USD,10746000000,,2014,3
0001193125-14-277160,CashAndCashEquivalentsAtCarryingValue,us-gaap/2014,,20130930,0,USD,14259000000,,2014,3
0001193125-14-277160,CashAndCashEquivalentsAtCarryingValue,us-gaap/2014,,20140630,0,USD,12977000000,,2014,3
0001193125-14-277160,CashAndCashEquivalentsAtCarryingValue,us-gaap/2014,,20130630,0,USD,11248000000,,2014,3
0001193125-14-277160,CashAndCashEquivalentsPeriodIncreaseDecrease,us-gaap/2014,,20130630,3,USD,502000000,,2014,3
0001193125-14-277160,CashAndCashEquivalentsPeriodIncreaseDecrease,us-gaap/2014,,20140630,3,USD,-1282000000,,2014,3
0001193125-14-277160,CommitmentsAndContingencies,us-gaap/2014,,20140630,0,USD,,,2014,3
0001193125-14-277160,CommitmentsAndContingencies,us-gaap/2014,,20130930,0,USD,,,2014,3
0001193125-14-277160,CommonStockDividendsPerShareDeclared,us-gaap/2014,,20121231,1,USD,0.38,,2014,3
0001193125-14-277160,CommonStockDividendsPerShareDeclared,us-gaap/2014,,20130630,3,USD,1.2,,2014,3
0001193125-14-277160,CommonStockDividendsPerShareDeclared,us-gaap/2014,,20140630,3,USD,1.35,,2014,3
0001193125-14-277160,CommonStockDividendsPerShareDeclared,us-gaap/2014,,20130930,4,USD,1.64,,2014,3
0001193125-14-277160,CommonStockDividendsPerShareDeclared,us-gaap/2014,,20130331,1,USD,0.38,,2014,3
0001193125-14-277160,CommonStockDividendsPerShareDeclared,us-gaap/2014,,20130630,1,USD,0.44,,2014,3
0001193125-14-277160,CommonStockDividendsPerShareDeclared,us-gaap/2014,,20131231,1,USD,0.44,,2014,3
0001193125-14-277160,CommonStockDividendsPerShareDeclared,us-gaap/2014,,20140331,1,USD,0.44,,2014,3
0001193125-14-277160,CommonStockDividendsPerShareDeclared,us-gaap/2014,,20140630,1,USD,0.47,,2014,3
0001193125-14-277160,CommonStockDividendsPerShareDeclared,us-gaap/2014,,20130930,1,USD,0.44,,2014,3
0001193125-14-277160,CommonStockParOrStatedValuePerShare,us-gaap/2014,,20140331,0,USD,0,,2014,3
0001193125-14-277160,CommonStockParOrStatedValuePerShare,us-gaap/2014,,20140630,0,USD,0,,2014,3
0001193125-14-277160,CommonStockParOrStatedValuePerShare,us-gaap/2014,,20130930,0,USD,0,,2014,3
0001193125-14-277160,CommonStockSharesAuthorized,us-gaap/2014,,20130930,0,shares,12600000000,,2014,3
0001193125-14-277160,CommonStockSharesAuthorized,us-gaap/2014,,20140630,0,shares,12600000000,,2014,3
0001193125-14-277160,CommonStockSharesIssued,us-gaap/2014,,20140630,0,shares,5989171000,,2014,3
0001193125-14-277160,CommonStockSharesIssued,us-gaap/2014,,20130930,0,shares,6294494000,,2014,3
0001193125-14-277160,CommonStockSharesOutstanding,us-gaap/2014,,20130930,0,shares,6294494000,,2014,3
0001193125-14-277160,CommonStockSharesOutstanding,us-gaap/2014,,20140630,0,shares,5989171000,,2014,3
0001193125-14-277160,DeferredIncomeTaxExpenseBenefit,us-gaap/2014,,20140630,3,USD,3154000000,,2014,3
0001193125-14-277160,DeferredIncomeTaxExpenseBenefit,us-gaap/2014,,20130630,3,USD,2524000000,,2014,3
0001193125-14-277160,IncomeTaxExpenseBenefit,us-gaap/2014,,20130630,3,USD,10487000000,,2014,3
0001193125-14-277160,IncomeTaxExpenseBenefit,us-gaap/2014,,20130630,1,USD,2535000000,,2014,3
0001193125-14-277160,IncomeTaxExpenseBenefit,us-gaap/2014,,20140630,1,USD,2736000000,,2014,3
0001193125-14-277160,IncomeTaxExpenseBenefit,us-gaap/2014,,20140630,3,USD,10968000000,,2014,3
0001193125-14-277160,IncreaseDecreaseInAccountsPayable,us-gaap/2014,,20140630,3,USD,-2531000000,,2014,3
0001193125-14-277160,IncreaseDecreaseInAccountsPayable,us-gaap/2014,,20130630,3,USD,-4740000000,,2014,3
0001193125-14-277160,IncreaseDecreaseInAccountsReceivable,us-gaap/2014,,20140630,3,USD,-2314000000,,2014,3
0001193125-14-277160,IncreaseDecreaseInAccountsReceivable,us-gaap/2014,,20130630,3,USD,-2091000000,,2014,3
0001193125-14-277160,IncreaseDecreaseInInventories,us-gaap/2014,,20130630,3,USD,906000000,,2014,3
0001193125-14-277160,IncreaseDecreaseInInventories,us-gaap/2014,,20140630,3,USD,-170000000,,2014,3
0001193125-14-277160,InterestExpense,us-gaap/2014,,20140630,3,USD,269000000,,2014,3
0001193125-14-277160,InterestExpense,us-gaap/2014,,20130630,3,USD,53000000,,2014,3
0001193125-14-277160,InterestExpense,us-gaap/2014,,20130630,1,USD,53000000,,2014,3
0001193125-14-277160,InterestExpense,us-gaap/2014,,20140630,1,USD,100000000,,2014,3
0001193125-14-277160,Liabilities,us-gaap/2014,,20130930,0,USD,83451000000,,2014,3
0001193125-14-277160,Liabilities,us-gaap/2014,,20140630,0,USD,1.0158E+11,,2014,3
0001193125-14-277160,LiabilitiesAndStockholdersEquity,us-gaap/2014,,20130930,0,USD,2.07E+11,,2014,3
0001193125-14-277160,LiabilitiesAndStockholdersEquity,us-gaap/2014,,20140630,0,USD,2.2252E+11,,2014,3
0001193125-14-277160,LiabilitiesCurrent,us-gaap/2014,,20140630,0,USD,46205000000,,2014,3
0001193125-14-277160,LiabilitiesCurrent,us-gaap/2014,,20130930,0,USD,43658000000,,2014,3
0001193125-14-277160,LongTermDebt,us-gaap/2014,,20140630,0,USD,29030000000,,2014,3
0001193125-14-277160,LongTermDebt,us-gaap/2014,,20130930,0,USD,16960000000,,2014,3
0001193125-14-277160,NetIncomeLoss,us-gaap/2014,,20130630,3,USD,29525000000,,2014,3
0001193125-14-277160,NetIncomeLoss,us-gaap/2014,,20140630,3,USD,31043000000,,2014,3
0001193125-14-277160,NetIncomeLoss,us-gaap/2014,,20140630,1,USD,7748000000,,2014,3
0001193125-14-277160,NetIncomeLoss,us-gaap/2014,,20130630,1,USD,6900000000,,2014,3
0001193125-14-277160,OperatingIncomeLoss,us-gaap/2014,,20130630,1,USD,9201000000,,2014,3
0001193125-14-277160,OperatingIncomeLoss,us-gaap/2014,,20140630,1,USD,10282000000,,2014,3
0001193125-14-277160,OperatingIncomeLoss,us-gaap/2014,,20140630,3,USD,41338000000,,2014,3
0001193125-14-277160,OperatingIncomeLoss,us-gaap/2014,,20130630,3,USD,38969000000,,2014,3
0001193125-14-277160,OtherAssetsNoncurrent,us-gaap/2014,,20140630,0,USD,4160000000,,2014,3
0001193125-14-277160,OtherAssetsNoncurrent,us-gaap/2014,,20130930,0,USD,5146000000,,2014,3
0001193125-14-277160,PaymentsOfDividends,us-gaap/2014,,20140630,3,USD,8224000000,,2014,3
0001193125-14-277160,PaymentsOfDividends,us-gaap/2014,,20130930,4,USD,10528000000,,2014,3
0001193125-14-277160,PaymentsOfDividends,us-gaap/2014,,20121231,1,USD,2486000000,,2014,3
0001193125-14-277160,PaymentsOfDividends,us-gaap/2014,,20130331,1,USD,2490000000,,2014,3
0001193125-14-277160,PaymentsOfDividends,us-gaap/2014,,20130630,1,USD,2789000000,,2014,3
0001193125-14-277160,PaymentsOfDividends,us-gaap/2014,,20131231,1,USD,2739000000,,2014,3
0001193125-14-277160,PaymentsOfDividends,us-gaap/2014,,20140331,1,USD,2655000000,,2014,3
0001193125-14-277160,PaymentsOfDividends,us-gaap/2014,,20140630,1,USD,2830000000,,2014,3
0001193125-14-277160,PaymentsOfDividends,us-gaap/2014,,20130930,1,USD,2763000000,,2014,3
0001193125-14-277160,PropertyPlantAndEquipmentGross,us-gaap/2014,,20130930,0,USD,28519000000,,2014,3
0001193125-14-277160,PropertyPlantAndEquipmentGross,us-gaap/2014,,20140630,0,USD,34453000000,,2014,3
0001193125-14-277160,PropertyPlantAndEquipmentNet,us-gaap/2014,,20140630,0,USD,17585000000,,2014,3
0001193125-14-277160,PropertyPlantAndEquipmentNet,us-gaap/2014,,20130930,0,USD,16597000000,,2014,3
0001193125-14-277160,RetainedEarningsAccumulatedDeficit,us-gaap/2014,,20130930,0,USD,1.04256E+11,,2014,3
0001193125-14-277160,RetainedEarningsAccumulatedDeficit,us-gaap/2014,,20140630,0,USD,98715000000,,2014,3
0001193125-14-277160,StockholdersEquity,us-gaap/2014,,20140630,0,USD,1.2094E+11,,2014,3
0001193125-14-277160,StockholdersEquity,us-gaap/2014,,20130930,0,USD,1.23549E+11,,2014,3
0001193125-14-277160,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,us-gaap/2014,,20130630,3,USD,-8871000000,,2014,3
0001193125-14-277160,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,us-gaap/2014,,20140630,3,USD,-22169000000,,2014,3
0001193125-14-277160,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,us-gaap/2014,,20140630,3,USD,-25576000000,,2014,3
0001193125-14-277160,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,us-gaap/2014,,20130630,3,USD,-34385000000,,2014,3
