adsh,tag,version,coreg,ddate,qtrs,uom,value,footnote,fs_year,fs_quarter
0001326801-14-000032,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2013,,20131231,0,USD,14000000.0,,2014,3
0001326801-14-000032,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2013,,20140630,0,USD,-5000000.0,,2014,3
0001326801-14-000032,Assets,us-gaap/2013,,20131231,0,USD,17895000000.0,,2014,3
0001326801-14-000032,Assets,us-gaap/2013,,20140630,0,USD,20769000000.0,,2014,3
0001326801-14-000032,CommonStockParOrStatedValuePerShare,us-gaap/2013,,20131231,0,USD,0.0,,2014,3
0001326801-14-000032,CommonStockParOrStatedValuePerShare,us-gaap/2013,,20140630,0,USD,0.0,,2014,3
0001326801-14-000032,CommonStockValue,us-gaap/2013,,20131231,0,USD,0.0,,2014,3
0001326801-14-000032,CommonStockValue,us-gaap/2013,,20140630,0,USD,0.0,,2014,3
0001326801-14-000032,ComprehensiveIncomeNetOfTax,us-gaap/2013,,20140630,1,USD,771000000.0,,2014,3
0001326801-14-000032,ComprehensiveIncomeNetOfTax,us-gaap/2013,,20130630,2,USD,521000000.0,,2014,3
0001326801-14-000032,ComprehensiveIncomeNetOfTax,us-gaap/2013,,20130630,1,USD,319000000.0,,2014,3
0001326801-14-000032,ComprehensiveIncomeNetOfTax,us-gaap/2013,,20140630,2,USD,1414000000.0,,2014,3
0001326801-14-000032,DeferredIncomeTaxExpenseBenefit,us-gaap/2013,,20130630,2,USD,19000000.0,,2014,3
0001326801-14-000032,DeferredIncomeTaxExpenseBenefit,us-gaap/2013,,20140630,2,USD,-34000000.0,,2014,3
0001326801-14-000032,EarningsPerShareBasic,us-gaap/2013,,20130630,2,USD,0.23,,2014,3
0001326801-14-000032,EarningsPerShareBasic,us-gaap/2013,,20140630,1,USD,0.31,,2014,3
0001326801-14-000032,EarningsPerShareBasic,us-gaap/2013,,20130630,1,USD,0.14,,2014,3
0001326801-14-000032,EarningsPerShareBasic,us-gaap/2013,,20140630,2,USD,0.56,,2014,3
0001326801-14-000032,EarningsPerShareDiluted,us-gaap/2013,,20130630,1,USD,0.13,,2014,3
0001326801-14-000032,EarningsPerShareDiluted,us-gaap/2013,,20130630,2,USD,0.22,,2014,3
0001326801-14-000032,EarningsPerShareDiluted,us-gaap/2013,,20140630,1,USD,0.3,,2014,3
0001326801-14-000032,EarningsPerShareDiluted,us-gaap/2013,,20140630,2,USD,0.55,,2014,3
0001326801-14-000032,EffectOfExchangeRateOnCashAndCashEquivalents,us-gaap/2013,,20130630,2,USD,-7000000.0,,2014,3
0001326801-14-000032,EffectOfExchangeRateOnCashAndCashEquivalents,us-gaap/2013,,20140630,2,USD,-3000000.0,,2014,3
0001326801-14-000032,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,us-gaap/2013,,20130630,2,USD,898000000.0,,2014,3
0001326801-14-000032,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,us-gaap/2013,,20140630,2,USD,2460000000.0,,2014,3
0001326801-14-000032,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,us-gaap/2013,,20130630,1,USD,545000000.0,,2014,3
0001326801-14-000032,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,us-gaap/2013,,20140630,1,USD,1386000000.0,,2014,3
0001326801-14-000032,IncomeTaxExpenseBenefit,us-gaap/2013,,20140630,1,USD,595000000.0,,2014,3
0001326801-14-000032,IncomeTaxExpenseBenefit,us-gaap/2013,,20130630,1,USD,212000000.0,,2014,3
0001326801-14-000032,IncomeTaxExpenseBenefit,us-gaap/2013,,20130630,2,USD,346000000.0,,2014,3
0001326801-14-000032,IncomeTaxExpenseBenefit,us-gaap/2013,,20140630,2,USD,1027000000.0,,2014,3
0001326801-14-000032,InterestPaid,us-gaap/2013,,20140630,2,USD,8000000.0,,2014,3
0001326801-14-000032,InterestPaid,us-gaap/2013,,20130630,2,USD,26000000.0,,2014,3
0001326801-14-000032,Liabilities,us-gaap/2013,,20140630,0,USD,2423000000.0,,2014,3
0001326801-14-000032,Liabilities,us-gaap/2013,,20131231,0,USD,2425000000.0,,2014,3
0001326801-14-000032,LiabilitiesAndStockholdersEquity,us-gaap/2013,,20131231,0,USD,17895000000.0,,2014,3
0001326801-14-000032,LiabilitiesAndStockholdersEquity,us-gaap/2013,,20140630,0,USD,20769000000.0,,2014,3
0001326801-14-000032,NetCashProvidedByUsedInFinancingActivities,us-gaap/2013,,20140630,2,USD,732000000.0,,2014,3
0001326801-14-000032,NetCashProvidedByUsedInFinancingActivities,us-gaap/2013,,20130630,2,USD,-593000000.0,,2014,3
0001326801-14-000032,NetCashProvidedByUsedInInvestingActivities,us-gaap/2013,,20140630,2,USD,-2294000000.0,,2014,3
0001326801-14-000032,NetCashProvidedByUsedInInvestingActivities,us-gaap/2013,,20130630,2,USD,-824000000.0,,2014,3
0001326801-14-000032,NetCashProvidedByUsedInOperatingActivities,us-gaap/2013,,20130630,2,USD,2041000000.0,,2014,3
0001326801-14-000032,NetCashProvidedByUsedInOperatingActivities,us-gaap/2013,,20140630,2,USD,2626000000.0,,2014,3
0001326801-14-000032,NetIncomeLoss,us-gaap/2013,,20130630,1,USD,333000000.0,,2014,3
0001326801-14-000032,NetIncomeLoss,us-gaap/2013,,20130630,2,USD,552000000.0,,2014,3
0001326801-14-000032,NetIncomeLoss,us-gaap/2013,,20140630,2,USD,1433000000.0,,2014,3
0001326801-14-000032,NetIncomeLoss,us-gaap/2013,,20140630,1,USD,791000000.0,,2014,3
0001326801-14-000032,NetIncomeLossAvailableToCommonStockholdersBasic,us-gaap/2013,,20140630,2,USD,1427000000.0,,2014,3
0001326801-14-000032,NetIncomeLossAvailableToCommonStockholdersBasic,us-gaap/2013,,20140630,1,USD,788000000.0,,2014,3
0001326801-14-000032,NetIncomeLossAvailableToCommonStockholdersBasic,us-gaap/2013,,20130630,1,USD,331000000.0,,2014,3
0001326801-14-000032,NetIncomeLossAvailableToCommonStockholdersBasic,us-gaap/2013,,20130630,2,USD,549000000.0,,2014,3
0001326801-14-000032,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,us-gaap/2013,,20140630,2,USD,-21000000.0,,2014,3
0001326801-14-000032,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,us-gaap/2013,,20130630,2,USD,-31000000.0,,2014,3
0001326801-14-000032,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,us-gaap/2013,,20140630,1,USD,-20000000.0,,2014,3
0001326801-14-000032,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,us-gaap/2013,,20130630,1,USD,-13000000.0,,2014,3
0001326801-14-000032,OtherNoncashIncomeExpense,us-gaap/2013,,20140630,2,USD,-3000000.0,,2014,3
0001326801-14-000032,OtherNoncashIncomeExpense,us-gaap/2013,,20130630,2,USD,-20000000.0,,2014,3
0001326801-14-000032,PaymentsForProceedsFromOtherInvestingActivities,us-gaap/2013,,20140630,2,USD,3000000.0,,2014,3
0001326801-14-000032,PaymentsForProceedsFromOtherInvestingActivities,us-gaap/2013,,20130630,2,USD,-3000000.0,,2014,3
0001326801-14-000032,ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,us-gaap/2013,,20140630,2,USD,1074000000.0,,2014,3
0001326801-14-000032,ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,us-gaap/2013,,20130630,2,USD,2174000000.0,,2014,3
0001326801-14-000032,ProceedsFromSaleOfAvailableForSaleSecurities,us-gaap/2013,,20130630,2,USD,1275000000.0,,2014,3
0001326801-14-000032,ProceedsFromSaleOfAvailableForSaleSecurities,us-gaap/2013,,20140630,2,USD,1968000000.0,,2014,3
0001326801-14-000032,RetainedEarningsAccumulatedDeficit,us-gaap/2013,,20140630,0,USD,4592000000.0,,2014,3
0001326801-14-000032,RetainedEarningsAccumulatedDeficit,us-gaap/2013,,20131231,0,USD,3159000000.0,,2014,3
0001326801-14-000032,Revenues,us-gaap/2013,,20140630,2,USD,5412000000.0,,2014,3
0001326801-14-000032,Revenues,us-gaap/2013,,20130630,1,USD,1813000000.0,,2014,3
0001326801-14-000032,Revenues,us-gaap/2013,,20140630,1,USD,2910000000.0,,2014,3
0001326801-14-000032,Revenues,us-gaap/2013,,20130630,2,USD,3271000000.0,,2014,3
0001326801-14-000032,StockholdersEquity,us-gaap/2013,,20131231,0,USD,15470000000.0,,2014,3
0001326801-14-000032,StockholdersEquity,us-gaap/2013,,20140630,0,USD,18346000000.0,,2014,3
0001326801-14-000032,WeightedAverageNumberOfDilutedSharesOutstanding,us-gaap/2013,,20140630,2,shares,2609000000.0,,2014,3
