adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks,fs_year,fs_quarter
0001326801-14-000032,1326801,FACEBOOK INC,7370.0,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,650-618-7714,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,,,201665019.0,,,1-LAF,0,1231.0,10-Q,20140630,2014.0,Q2,20140724,2014-07-24 16:26:00.0,0,1,fb-20140630.xml,1,,2014,3
0001326801-14-000068,1326801,FACEBOOK INC,7370.0,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,650-618-7714,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,US,DE,201665019.0,,,1-LAF,0,1231.0,10-Q,20140930,2014.0,Q3,20141030,2014-10-30 06:03:00.0,0,1,fb-20140930.xml,1,,2014,4
0001326801-18-000009,1326801,FACEBOOK INC,7370.0,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,650-618-7714,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,US,DE,201665019.0,,,1-LAF,1,1231.0,10-K,20171231,2017.0,FY,20180201,2018-02-01 16:58:00.0,0,1,fb-20171231.xml,1,,2018,1
0001326801-16-000043,1326801,FACEBOOK INC,7370.0,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,650-618-7714,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,US,DE,201665019.0,,,1-LAF,1,1231.0,10-K,20151231,2015.0,FY,20160128,2016-01-28 16:17:00.0,0,1,fb-20151231.xml,1,,2016,1
0001326801-14-000023,1326801,FACEBOOK INC,7370.0,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,650-618-7714,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,,,201665019.0,,,1-LAF,0,1231.0,10-Q,20140331,2014.0,Q1,20140425,2014-04-25 16:03:00.0,0,1,fb-20140331.xml,1,,2014,2
0001326801-13-000011,1326801,FACEBOOK INC,7370.0,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,650-618-7714,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,,,201665019.0,,,4-NON,0,1231.0,10-Q,20130331,2013.0,Q1,20130502,2013-05-02 16:36:00.0,0,1,fb-20130331.xml,1,,2013,2
0001326801-17-000038,1326801,FACEBOOK INC,7370.0,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,650-618-7714,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,US,DE,201665019.0,,,1-LAF,0,1231.0,10-Q,20170630,2017.0,Q2,20170727,2017-07-27 16:26:00.0,0,1,fb-20170630.xml,1,,2017,3
0001326801-17-000053,1326801,FACEBOOK INC,7370.0,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,650-618-7714,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,US,DE,201665019.0,,,1-LAF,0,1231.0,10-Q,20170930,2017.0,Q3,20171102,2017-11-02 16:38:00.0,0,1,fb-20170930.xml,1,,2017,4
0001326801-13-000019,1326801,FACEBOOK INC,7370.0,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,650-618-7714,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,,,201665019.0,,,4-NON,0,1231.0,10-Q,20130630,2013.0,Q2,20130725,2013-07-25 16:43:00.0,0,1,fb-20130630.xml,1,,2013,3
0001326801-13-000031,1326801,FACEBOOK INC,7370.0,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,650-618-7714,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,,,201665019.0,,,4-NON,0,1231.0,10-Q,20130930,2013.0,Q3,20131101,2013-10-31 18:07:00.0,0,1,fb-20130930.xml,1,,2013,4
0001326801-15-000006,1326801,FACEBOOK INC,7370.0,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,650-618-7714,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,US,DE,201665019.0,,,1-LAF,1,1231.0,10-K,20141231,2014.0,FY,20150129,2015-01-29 16:36:00.0,0,1,fb-20141231.xml,1,,2015,1
0001326801-17-000024,1326801,FACEBOOK INC,7370.0,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,650-618-7714,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,US,DE,201665019.0,,,1-LAF,0,1231.0,10-Q,20170331,2017.0,Q1,20170504,2017-05-04 16:21:00.0,0,1,fb-20170331.xml,1,,2017,2
0001326801-16-000087,1326801,FACEBOOK INC,7370.0,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,650-618-7714,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,US,DE,201665019.0,,,1-LAF,0,1231.0,10-Q,20160930,2016.0,Q3,20161103,2016-11-03 16:05:00.0,0,1,fb-20160930.xml,1,,2016,4
0001326801-16-000082,1326801,FACEBOOK INC,7370.0,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,650-618-7714,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,US,DE,201665019.0,,,1-LAF,0,1231.0,10-Q,20160630,2016.0,Q2,20160728,2016-07-28 16:20:00.0,0,1,fb-20160630.xml,1,,2016,3
0001326801-12-000006,1326801,FACEBOOK INC,7370.0,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,650-618-7714,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,,,201665019.0,,,4-NON,0,1231.0,10-Q,20120930,2012.0,Q3,20121024,2012-10-24 16:21:00.0,0,1,fb-20120930.xml,1,,2012,4
0001193125-12-325997,1326801,FACEBOOK INC,7370.0,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,650-618-7714,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,,,201665019.0,,,4-NON,0,1231.0,10-Q,20120630,2012.0,Q2,20120731,2012-07-31 16:39:00.0,0,1,fb-20120630.xml,1,,2012,3
0001326801-16-000067,1326801,FACEBOOK INC,7370.0,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,650-618-7714,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,US,DE,201665019.0,,,1-LAF,0,1231.0,10-Q,20160331,2016.0,Q1,20160428,2016-04-28 16:15:00.0,0,1,fb-20160331.xml,1,,2016,2
0001326801-14-000007,1326801,FACEBOOK INC,7370.0,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,650-618-7714,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,,,201665019.0,,,1-LAF,1,1231.0,10-K,20131231,2013.0,FY,20140131,2014-01-31 16:11:00.0,0,1,fb-20131231.xml,1,,2014,1
0001326801-15-000032,1326801,FACEBOOK INC,7370.0,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,650-618-7714,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,US,DE,201665019.0,,,1-LAF,0,1231.0,10-Q,20150930,2015.0,Q3,20151105,2015-11-05 16:48:00.0,0,1,fb-20150930.xml,1,,2015,4
0001326801-15-000028,1326801,FACEBOOK INC,7370.0,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,650-618-7714,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,US,DE,201665019.0,,,1-LAF,0,1231.0,10-Q,20150630,2015.0,Q2,20150731,2015-07-30 18:43:00.0,0,1,fb-20150630.xml,1,,2015,3
0001326801-13-000003,1326801,FACEBOOK INC,7370.0,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,650-618-7714,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,,,201665019.0,,,4-NON,0,1231.0,10-K,20121231,2012.0,FY,20130201,2013-02-01 16:43:00.0,0,1,fb-20121231.xml,1,,2013,1
0001326801-15-000015,1326801,FACEBOOK INC,7370.0,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,650-618-7714,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,US,DE,201665019.0,,,1-LAF,0,1231.0,10-Q,20150331,2015.0,Q1,20150423,2015-04-23 16:23:00.0,0,1,fb-20150331.xml,1,,2015,2
0001326801-17-000007,1326801,FACEBOOK INC,7370.0,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,650-618-7714,US,CA,MENLO PARK,94025,1601 WILLOW ROAD,,US,DE,201665019.0,,,1-LAF,1,1231.0,10-K,20161231,2016.0,FY,20170203,2017-02-02 21:14:00.0,0,1,fb-20161231.xml,1,,2017,1
