adsh,tag,version,coreg,ddate,qtrs,uom,value,footnote,fs_year,fs_quarter
0001193125-14-289961,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2013,,20120630,0,USD,1422000000.0,,2014,3
0001193125-14-289961,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2013,,20130630,0,USD,1743000000.0,,2014,3
0001193125-14-289961,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2013,,20140630,0,USD,3708000000.0,,2014,3
0001193125-14-289961,Assets,us-gaap/2013,,20130630,0,USD,142431000000.0,,2014,3
0001193125-14-289961,Assets,us-gaap/2013,,20140630,0,USD,172384000000.0,,2014,3
0001193125-14-289961,AvailableForSaleSecuritiesDebtSecurities,us-gaap/2013,,20140630,0,USD,80125000000.0,,2014,3
0001193125-14-289961,CommitmentsAndContingencies,us-gaap/2013,,20140630,0,USD,,,2014,3
0001193125-14-289961,CommitmentsAndContingencies,us-gaap/2013,,20130630,0,USD,,,2014,3
0001193125-14-289961,CommonStockDividendsPerShareDeclared,us-gaap/2013,,20140630,4,USD,1.12,,2014,3
0001193125-14-289961,CommonStockDividendsPerShareDeclared,us-gaap/2013,,20130630,4,USD,0.92,,2014,3
0001193125-14-289961,CommonStockDividendsPerShareDeclared,us-gaap/2013,,20130331,1,USD,0.23,,2014,3
0001193125-14-289961,CommonStockDividendsPerShareDeclared,us-gaap/2013,,20140331,1,USD,0.28,,2014,3
0001193125-14-289961,CommonStockDividendsPerShareDeclared,us-gaap/2013,,20130630,1,USD,0.23,,2014,3
0001193125-14-289961,CommonStockDividendsPerShareDeclared,us-gaap/2013,,20140630,1,USD,0.28,,2014,3
0001193125-14-289961,CommonStockDividendsPerShareDeclared,us-gaap/2013,,20120630,4,USD,0.8,,2014,3
0001193125-14-289961,CommonStockDividendsPerShareDeclared,us-gaap/2013,,20120930,1,USD,0.23,,2014,3
0001193125-14-289961,CommonStockDividendsPerShareDeclared,us-gaap/2013,,20121231,1,USD,0.23,,2014,3
0001193125-14-289961,CommonStockDividendsPerShareDeclared,us-gaap/2013,,20130930,1,USD,0.28,,2014,3
0001193125-14-289961,CommonStockDividendsPerShareDeclared,us-gaap/2013,,20131231,1,USD,0.28,,2014,3
0001193125-14-289961,CommonStockSharesAuthorized,us-gaap/2013,,20130630,0,shares,24000000000.0,,2014,3
0001193125-14-289961,CommonStockSharesAuthorized,us-gaap/2013,,20140630,0,shares,24000000000.0,,2014,3
0001193125-14-289961,ComprehensiveIncomeNetOfTax,us-gaap/2013,,20140630,4,USD,24039000000.0,,2014,3
0001193125-14-289961,ComprehensiveIncomeNetOfTax,us-gaap/2013,,20130630,4,USD,22184000000.0,,2014,3
0001193125-14-289961,ComprehensiveIncomeNetOfTax,us-gaap/2013,,20120630,4,USD,16537000000.0,,2014,3
0001193125-14-289961,CurrentIncomeTaxExpenseBenefit,us-gaap/2013,,20140630,4,USD,6077000000.0,,2014,3
0001193125-14-289961,CurrentIncomeTaxExpenseBenefit,us-gaap/2013,,20130630,4,USD,5208000000.0,,2014,3
0001193125-14-289961,CurrentIncomeTaxExpenseBenefit,us-gaap/2013,,20120630,4,USD,4335000000.0,,2014,3
0001193125-14-289961,DeferredIncomeTaxExpenseBenefit,us-gaap/2013,,20140630,4,USD,-331000000.0,,2014,3
0001193125-14-289961,DeferredIncomeTaxExpenseBenefit,us-gaap/2013,,20130630,4,USD,-19000000.0,,2014,3
0001193125-14-289961,DeferredIncomeTaxExpenseBenefit,us-gaap/2013,,20120630,4,USD,954000000.0,,2014,3
0001193125-14-289961,EarningsPerShareBasic,us-gaap/2013,,20121231,1,USD,0.76,,2014,3
0001193125-14-289961,EarningsPerShareBasic,us-gaap/2013,,20120930,1,USD,0.53,,2014,3
0001193125-14-289961,EarningsPerShareBasic,us-gaap/2013,,20120630,4,USD,2.02,,2014,3
