adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks,fs_year,fs_quarter
0001193125-14-289961,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,1,630.0,10-K,20140630,2014.0,FY,20140731,2014-07-31 17:17:00.0,0,1,msft-20140630.xml,1,,2014,3
0001193125-14-380252,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,0,630.0,10-Q,20140930,2015.0,Q1,20141023,2014-10-23 16:16:00.0,0,1,msft-20140930.xml,1,,2014,4
0001564590-18-001129,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,0,630.0,10-Q,20171231,2018.0,Q2,20180131,2018-01-31 16:10:00.0,0,1,msft-20171231.xml,1,,2018,1
0001193125-10-090116,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,0,630.0,10-Q,20100331,2010.0,Q3,20100422,2010-04-22 16:19:00.0,0,0,msft-20100331.xml,1,,2010,2
0001193125-12-026864,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,0,630.0,10-Q/A,20111231,2012.0,Q2,20120127,2012-01-27 15:04:00.0,0,1,msft-20111231.xml,1,,2012,1
0001193125-16-441821,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,0,630.0,10-Q,20151231,2016.0,Q2,20160128,2016-01-28 16:11:00.0,0,1,msft-20151231.xml,1,,2016,1
0001193125-14-157088,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,0,630.0,10-Q,20140331,2014.0,Q3,20140424,2014-04-24 16:06:00.0,0,1,msft-20140331.xml,1,,2014,2
0001193125-10-171791,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,1,630.0,10-K,20100630,2010.0,FY,20100730,2010-07-30 11:31:00.0,0,1,msft-20100630.xml,1,,2010,3
0001193125-10-239825,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,0,630.0,10-Q,20100930,2011.0,Q1,20101028,2010-10-28 16:36:00.0,0,1,msft-20100930.xml,1,,2010,4
0001193125-13-160748,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,0,630.0,10-Q,20130331,2013.0,Q3,20130418,2013-04-18 16:08:00.0,0,1,msft-20130331.xml,1,,2013,2
