adsh,tag,version,coreg,ddate,qtrs,uom,value,footnote,fs_year,fs_quarter
0001104659-14-059084,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2013,,20131231,0,USD,-33000.0,,2014,3
0001104659-14-059084,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2013,,20140630,0,USD,72000.0,,2014,3
0001104659-14-059084,AdditionalPaidInCapitalCommonStock,us-gaap/2013,,20131231,0,USD,282702000.0,,2014,3
0001104659-14-059084,AdditionalPaidInCapitalCommonStock,us-gaap/2013,,20140630,0,USD,285745000.0,,2014,3
0001104659-14-059084,Assets,us-gaap/2013,,20131231,0,USD,92097000.0,,2014,3
0001104659-14-059084,Assets,us-gaap/2013,,20140630,0,USD,89209000.0,,2014,3
0001104659-14-059084,CommitmentsAndContingencies,us-gaap/2013,,20131231,0,USD,,,2014,3
0001104659-14-059084,CommitmentsAndContingencies,us-gaap/2013,,20140630,0,USD,,,2014,3
0001104659-14-059084,CommonStockParOrStatedValuePerShare,us-gaap/2013,,20140630,0,USD,0.001,,2014,3
0001104659-14-059084,CommonStockParOrStatedValuePerShare,us-gaap/2013,,20131231,0,USD,0.001,,2014,3
0001104659-14-059084,CommonStockSharesAuthorized,us-gaap/2013,,20131231,0,shares,90000000.0,,2014,3
0001104659-14-059084,CommonStockSharesAuthorized,us-gaap/2013,,20140630,0,shares,90000000.0,,2014,3
0001104659-14-059084,CommonStockValue,us-gaap/2013,,20140630,0,USD,34000.0,,2014,3
0001104659-14-059084,CommonStockValue,us-gaap/2013,,20131231,0,USD,34000.0,,2014,3
0001104659-14-059084,ComprehensiveIncomeNetOfTax,us-gaap/2013,,20140630,1,USD,-1868000.0,,2014,3
0001104659-14-059084,ComprehensiveIncomeNetOfTax,us-gaap/2013,,20130630,1,USD,-3847000.0,,2014,3
0001104659-14-059084,ComprehensiveIncomeNetOfTax,us-gaap/2013,,20140630,2,USD,-3145000.0,,2014,3
0001104659-14-059084,ComprehensiveIncomeNetOfTax,us-gaap/2013,,20130630,2,USD,-6557000.0,,2014,3
0001104659-14-059084,EarningsPerShareBasic,us-gaap/2013,,20140630,1,USD,-0.05,,2014,3
0001104659-14-059084,EarningsPerShareBasic,us-gaap/2013,,20130630,1,USD,-0.12,,2014,3
0001104659-14-059084,EarningsPerShareBasic,us-gaap/2013,,20130630,2,USD,-0.19,,2014,3
0001104659-14-059084,EarningsPerShareBasic,us-gaap/2013,,20140630,2,USD,-0.1,,2014,3
0001104659-14-059084,IncomeLossFromDiscontinuedOperationsNetOfTax,us-gaap/2013,,20140630,2,USD,1211000.0,,2014,3
0001104659-14-059084,IncomeLossFromDiscontinuedOperationsNetOfTax,us-gaap/2013,,20130630,2,USD,4383000.0,,2014,3
0001104659-14-059084,IncomeTaxExpenseBenefit,us-gaap/2013,,20140630,2,USD,0.0,,2014,3
0001104659-14-059084,IncomeTaxExpenseBenefit,us-gaap/2013,,20130630,2,USD,0.0,,2014,3
0001104659-14-059084,IncomeTaxExpenseBenefit,us-gaap/2013,,20140630,1,USD,130000.0,,2014,3
