Date,Close
2015-12-31,10.38
2015-12-30,10.42
2015-12-29,10.5
2015-12-28,10.39
2015-12-24,10.42
2015-12-23,10.44
2015-12-22,10.48
2015-12-21,10.83
2015-12-18,10.205
2015-12-17,10.9
2015-12-16,10.1
2015-12-15,10.02
2015-12-14,9.93
2015-12-11,9.87
2015-12-10,10.11
2015-12-09,10.03
2015-12-08,10.11
2015-12-07,10.13
2015-12-04,10.26
2015-12-03,10.01
2015-12-02,10.41
2015-12-01,10.52
2015-11-30,10.26
2015-11-27,10.38
2015-11-25,10.28
2015-11-24,10.46
2015-11-23,10.2
2015-11-20,10.73
2015-11-19,10.57
2015-11-18,10.54
2015-11-17,10.97
2015-11-16,13.98
2015-11-13,14.31
2015-11-12,14.65
2015-11-11,14.63
2015-11-10,14.34
2015-11-09,14.68
2015-11-06,14.54
2015-11-05,18.25
2015-11-04,18.34
2015-11-03,17.78
2015-11-02,18.08
2015-10-30,17.03
2015-10-29,16.43
2015-10-28,18.29
2015-10-27,17.51
2015-10-26,17.23
2015-10-23,17.25
2015-10-22,16.96
2015-10-21,16.99
2015-10-20,16.48
2015-10-19,16.73
2015-10-16,16.52
2015-10-15,16.5
2015-10-14,16.18
2015-10-13,16.5
2015-10-12,16.95
2015-10-09,16.97
2015-10-08,16.66
2015-10-07,17.02
2015-10-06,16.56
2015-10-05,17.58
2015-10-02,17.84
2015-10-01,18.01
2015-09-30,18.47
2015-09-29,17.8
2015-09-28,17.43
2015-09-25,18.04
2015-09-24,19.09
2015-09-23,19.32
2015-09-22,18.94
2015-09-21,19.2
2015-09-18,19.69
2015-09-17,20.13
2015-09-16,19.35
2015-09-15,19.54
2015-09-14,19.36
2015-09-11,19.32
2015-09-10,18.8
2015-09-09,18.64
2015-09-08,19.06
2015-09-04,18.46
2015-09-03,18.17
2015-09-02,18.45
2015-09-01,17.63
2015-08-31,18.0
2015-08-28,18.73
2015-08-27,18.14
2015-08-26,18.01
2015-08-25,17.35
2015-08-24,17.02
2015-08-21,17.61
2015-08-20,17.44
2015-08-19,17.6
2015-08-18,17.39
2015-08-17,17.47
2015-08-14,17.26
2015-08-13,17.88
2015-08-12,18.47
2015-08-11,18.4
2015-08-10,18.23
2015-08-07,18.22
2015-08-06,18.3
2015-08-05,18.83
2015-08-04,20.85
2015-08-03,21.29
2015-07-31,21.33
2015-07-30,21.05
2015-07-29,20.9
2015-07-28,21.5
2015-07-27,21.72
2015-07-24,21.72
2015-07-23,21.99
2015-07-22,22.61
2015-07-21,21.91
2015-07-20,22.54
2015-07-17,22.32
2015-07-16,22.64
2015-07-15,20.03
2015-07-14,20.94
2015-07-13,20.34
2015-07-10,19.31
2015-07-09,18.66
2015-07-08,18.75
