adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks,fs_year,fs_quarter
0001104659-14-059084,1360886,"OSIRIS THERAPEUTICS, INC.",2836.0,US,MD,COLUMBIA,21046,7015 ALBERT EINSTEIN DRIVE,,443-545-1819,US,MD,COLUMBIA,21046,7015 ALBERT EINSTEIN DRIVE,,US,MD,710881115.0,,,2-ACC,0,1231.0,10-Q,20140630,2014.0,Q2,20140811,2014-08-11 06:07:00.0,0,1,osir-20140630.xml,1,,2014,3
0001104659-14-078750,1360886,"OSIRIS THERAPEUTICS, INC.",2836.0,US,MD,COLUMBIA,21046,7015 ALBERT EINSTEIN DRIVE,,443-545-1819,US,MD,COLUMBIA,21046,7015 ALBERT EINSTEIN DRIVE,,US,MD,710881115.0,,,2-ACC,0,1231.0,10-Q,20140930,2014.0,Q3,20141110,2014-11-10 10:33:00.0,0,1,osir-20140930.xml,1,,2014,4
0001047469-18-002273,1360886,"OSIRIS THERAPEUTICS, INC.",2836.0,US,MD,COLUMBIA,21046,7015 ALBERT EINSTEIN DRIVE,,443-545-1819,US,MD,COLUMBIA,21046,7015 ALBERT EINSTEIN DRIVE,,US,MD,710881115.0,,,2-ACC,0,1231.0,10-K,20171231,2017.0,FY,20180328,2018-03-28 17:25:00.0,0,1,osir-20171231.xml,1,,2018,1
0001047469-12-002580,1360886,"OSIRIS THERAPEUTICS, INC.",2836.0,US,MD,COLUMBIA,21046,7015 ALBERT EINSTEIN DRIVE,,443-545-1819,US,MD,COLUMBIA,21046,7015 ALBERT EINSTEIN DRIVE,,US,DE,710881115.0,,,2-ACC,0,1231.0,10-K,20111231,2011.0,FY,20120314,2012-03-14 08:59:00.0,0,0,osir-20111231.xml,1,,2012,1
0001104659-14-037626,1360886,"OSIRIS THERAPEUTICS, INC.",2836.0,US,MD,COLUMBIA,21046,7015 ALBERT EINSTEIN DRIVE,,443-545-1819,US,MD,COLUMBIA,21046,7015 ALBERT EINSTEIN DRIVE,,US,MD,710881115.0,,,2-ACC,0,1231.0,10-Q,20140331,2014.0,Q1,20140512,2014-05-12 16:16:00.0,0,1,osir-20140331.xml,1,,2014,2
0001104659-13-039896,1360886,"OSIRIS THERAPEUTICS, INC.",2836.0,US,MD,COLUMBIA,21046,7015 ALBERT EINSTEIN DRIVE,,443-545-1819,US,MD,COLUMBIA,21046,7015 ALBERT EINSTEIN DRIVE,,US,DE,710881115.0,,,2-ACC,0,1231.0,10-Q,20130331,2013.0,Q1,20130510,2013-05-10 08:03:00.0,0,1,osir-20130331.xml,1,,2013,2
0001104659-13-062017,1360886,"OSIRIS THERAPEUTICS, INC.",2836.0,US,MD,COLUMBIA,21046,7015 ALBERT EINSTEIN DRIVE,,443-545-1819,US,MD,COLUMBIA,21046,7015 ALBERT EINSTEIN DRIVE,,US,MD,710881115.0,,,2-ACC,0,1231.0,10-Q,20130630,2013.0,Q2,20130809,2013-08-09 08:31:00.0,0,1,osir-20130630.xml,1,,2013,3
0001104659-13-083236,1360886,"OSIRIS THERAPEUTICS, INC.",2836.0,US,MD,COLUMBIA,21046,7015 ALBERT EINSTEIN DRIVE,,443-545-1819,US,MD,COLUMBIA,21046,7015 ALBERT EINSTEIN DRIVE,,US,MD,710881115.0,,,2-ACC,0,1231.0,10-Q,20130930,2013.0,Q3,20131112,2013-11-12 07:50:00.0,0,1,osir-20130930.xml,1,,2013,4
0001047469-15-002532,1360886,"OSIRIS THERAPEUTICS, INC.",2836.0,US,MD,COLUMBIA,21046,7015 ALBERT EINSTEIN DRIVE,,443-545-1819,US,MD,COLUMBIA,21046,7015 ALBERT EINSTEIN DRIVE,,US,MD,710881115.0,,,2-ACC,0,1231.0,10-K,20141231,2014.0,FY,20150320,2015-03-20 16:04:00.0,1,1,osir-20141231.xml,1,,2015,1
0001104659-12-035988,1360886,"OSIRIS THERAPEUTICS, INC.",2836.0,US,MD,COLUMBIA,21046,7015 ALBERT EINSTEIN DRIVE,,443-545-1819,US,MD,COLUMBIA,21046,7015 ALBERT EINSTEIN DRIVE,,US,DE,710881115.0,,,2-ACC,0,1231.0,10-Q,20120331,2012.0,Q1,20120510,2012-05-10 17:04:00.0,0,0,osir-20120331.xml,1,,2012,2
